322,242,275,226
248,235,246,223
222,218,222,212
206,200,205,198
193,185,190,184
179,171,175,171
168,160,164,158
157,149,154,148
146,140,143,138
137,131,135,130
130,123,127,122
122,116,119,115
116,109,114,110
110,105,108,104
105,99,103,97
98,93,98,93
93,88,93,88
89,84,88,83
84,79,84,79
80,75,80,75
76,71,75,72
72,67,71,69
70,65,70,65
66,62,67,62
64,60,65,61
62,58,62,58
59,56,60,57
59,55,60,56
57,53,57,55
56,52,57,53
54,50,56,51
52,49,53,50
50,47,51,48
48,45,49,46
47,45,48,45
46,43,47,45
46,42,47,43
45,41,46,43
45,41,46,42
43,39,44,41
43,39,43,41
42,40,43,40
42,39,44,41
42,38,43,41
42,39,43,40
41,38,42,39
41,38,42,40
41,38,42,40
41,38,43,40
41,37,42,40
41,39,42,40
41,40,43,40
41,39,42,40
41,40,43,41
42,40,44,41
41,38,42,41
41,38,42,40
41,37,41,38
40,36,40,38
39,36,39,38
38,35,39,36
38,35,39,37
38,34,38,36
38,35,38,36
38,35,39,36
37,34,38,35
36,33,37,34
35,33,37,34
35,32,36,35
34,31,34,35
34,30,35,33
34,31,35,33
34,31,35,33
34,31,36,33
34,31,35,33
33,31,34,32
33,30,34,31
32,30,34,32
33,31,35,32
32,30,33,33
33,31,35,33
33,29,34,33
33,29,34,32
33,29,34,32
32,29,33,32
32,30,34,31
32,30,34,32
33,31,34,33
33,31,34,32
33,30,35,33
33,30,35,32
33,30,34,32
32,29,34,31
32,30,34,31
32,29,33,31
32,29,33,31
32,29,32,30
31,28,32,30
31,27,32,31
31,29,32,32
