ReadingIndex,LightIntensity,Temperature,Date,Time
168,0,0,2025-02-16,00:53:40
169,0,53,2025-02-16,00:58:43
170,0,67,2025-02-16,01:03:45
171,0,6,2025-02-16,01:08:47
172,0,11,2025-02-16,01:13:49
173,0,0,2025-02-16,01:18:52
174,0,5,2025-02-16,01:23:54
175,0,60,2025-02-16,01:28:57
176,0,11,2025-02-16,01:33:59
177,0,67,2025-02-16,01:39:02
178,0,0,2025-02-16,01:44:04
179,0,52,2025-02-16,01:49:07
180,0,0,2025-02-16,01:54:08
181,0,58,2025-02-16,01:59:11
182,0,0,2025-02-16,02:04:13
183,0,3,2025-02-16,02:09:16
184,0,67,2025-02-16,02:14:19
185,0,0,2025-02-16,02:19:21
186,0,0,2025-02-16,02:24:23
187,0,0,2025-02-16,02:29:26
188,0,0,2025-02-16,02:34:28
189,0,0,2025-02-16,02:39:30
190,0,0,2025-02-16,02:44:32
191,0,0,2025-02-16,02:49:35
192,0,11,2025-02-16,02:54:37
193,0,0,2025-02-16,02:59:40
194,0,0,2025-02-16,03:04:42
195,0,6,2025-02-16,03:09:45
196,0,0,2025-02-16,03:14:47
197,0,8,2025-02-16,03:19:49
198,0,33,2025-02-16,03:24:52
199,0,0,2025-02-16,03:29:54
200,0,0,2025-02-16,03:34:57
201,0,0,2025-02-16,03:39:59
202,0,61,2025-02-16,03:45:02
203,0,63,2025-02-16,03:50:04
204,0,52,2025-02-16,03:55:06
205,0,59,2025-02-16,04:00:09
206,0,0,2025-02-16,04:05:11
207,0,0,2025-02-16,04:10:14
208,0,71,2025-02-16,04:15:16
209,0,0,2025-02-16,04:20:18
210,0,0,2025-02-16,04:25:20
211,0,0,2025-02-16,04:30:23
212,0,67,2025-02-16,04:35:25
213,0,0,2025-02-16,04:40:28
214,0,0,2025-02-16,04:45:30
215,0,69,2025-02-16,04:50:33
216,0,47,2025-02-16,04:55:35
217,0,0,2025-02-16,05:00:38
218,0,0,2025-02-16,05:05:40
219,0,0,2025-02-16,05:10:42
220,0,0,2025-02-16,05:15:45
221,0,72,2025-02-16,05:20:47
222,0,0,2025-02-16,05:25:50
223,0,0,2025-02-16,05:30:52
224,0,0,2025-02-16,05:35:53
225,0,72,2025-02-16,05:40:56
226,0,59,2025-02-16,05:45:58
227,0,0,2025-02-16,05:51:01
228,0,71,2025-02-16,05:56:03
229,0,0,2025-02-16,06:01:06
230,0,0,2025-02-16,06:06:08
231,0,0,2025-02-16,06:11:11
232,0,0,2025-02-16,06:16:13
233,0,62,2025-02-16,06:21:16
234,0,0,2025-02-16,06:26:18
235,0,0,2025-02-16,06:31:20
236,0,0,2025-02-16,06:36:23
237,0,0,2025-02-16,06:41:25
238,0,0,2025-02-16,06:46:27
239,0,73,2025-02-16,06:51:30
240,0,15,2025-02-16,06:56:32
241,0,0,2025-02-16,07:01:35
242,0,71,2025-02-16,07:06:36
243,1,73,2025-02-16,07:11:39
244,2,72,2025-02-16,07:16:41
245,3,0,2025-02-16,07:21:44
246,5,0,2025-02-16,07:26:46
247,6,44,2025-02-16,07:31:48
248,5,0,2025-02-16,07:36:51
249,6,0,2025-02-16,07:41:53
250,4,46,2025-02-16,07:46:56
251,6,0,2025-02-16,07:51:58
252,6,0,2025-02-16,07:57:00
253,5,59,2025-02-16,08:02:03
254,5,12,2025-02-16,08:07:05
255,4,0,2025-02-16,08:12:07
256,7,0,2025-02-16,08:17:10
257,7,0,2025-02-16,08:22:12
258,8,0,2025-02-16,08:27:15
259,10,0,2025-02-16,08:32:17
260,10,0,2025-02-16,08:37:19
261,11,67,2025-02-16,08:42:23
262,12,74,2025-02-16,08:47:25
263,13,74,2025-02-16,08:52:27
264,14,63,2025-02-16,08:57:30
265,11,33,2025-02-16,09:02:32
266,13,72,2025-02-16,09:07:34
267,12,0,2025-02-16,09:12:37
268,12,0,2025-02-16,09:17:38
269,12,0,2025-02-16,09:22:41
270,12,32,2025-02-16,09:27:43
271,11,74,2025-02-16,09:32:46
272,12,63,2025-02-16,09:37:48
273,10,73,2025-02-16,09:42:51
274,13,0,2025-02-16,09:47:53
275,17,74,2025-02-16,09:52:55
276,17,0,2025-02-16,09:57:58
277,23,0,2025-02-16,10:03:00
278,25,0,2025-02-16,10:08:03
279,20,76,2025-02-16,10:13:05
280,22,0,2025-02-16,10:18:07
281,23,69,2025-02-16,10:23:10
282,19,16,2025-02-16,10:28:12
283,18,0,2025-02-16,10:33:15
284,19,0,2025-02-16,10:38:17
285,17,44,2025-02-16,10:43:19
286,18,0,2025-02-16,10:48:22
