ReadingIndex,LightIntensity,Temperature,Date,Time
1,709,99,2025-02-08,10:31:38
2,854,100,2025-02-08,10:36:38
3,786,100,2025-02-08,10:41:38
4,752,100,2025-02-08,10:46:38
5,856,101,2025-02-08,10:51:38
6,762,100,2025-02-08,10:56:38
7,850,101,2025-02-08,11:01:38
8,849,101,2025-02-08,11:06:38
9,854,99,2025-02-08,11:11:38
10,741,100,2025-02-08,11:16:38
11,750,101,2025-02-08,11:21:38
12,771,101,2025-02-08,11:26:38
13,737,98,2025-02-08,11:31:38
14,757,99,2025-02-08,11:36:38
15,742,100,2025-02-08,11:41:38
16,739,99,2025-02-08,11:46:37
17,730,100,2025-02-08,11:51:37
18,718,100,2025-02-08,11:56:38
19,726,100,2025-02-08,12:01:38
20,774,99,2025-02-08,12:06:38
21,782,101,2025-02-08,12:11:38
22,802,101,2025-02-08,12:16:38
23,785,101,2025-02-08,12:21:37
24,771,100,2025-02-08,12:26:38
25,753,98,2025-02-08,12:31:38
26,852,99,2025-02-08,12:36:38
27,840,100,2025-02-08,12:41:38
28,835,100,2025-02-08,12:46:38
29,837,101,2025-02-08,12:51:38
30,754,99,2025-02-08,12:56:38
31,785,99,2025-02-08,13:01:37
32,839,100,2025-02-08,13:06:37
33,819,99,2025-02-08,13:11:38
34,676,100,2025-02-08,13:16:37
35,797,101,2025-02-08,13:21:38
36,735,99,2025-02-08,13:26:37
37,781,100,2025-02-08,13:31:38
38,770,99,2025-02-08,13:36:37
39,774,100,2025-02-08,13:41:37
40,768,99,2025-02-08,13:46:38
41,775,100,2025-02-08,13:51:37
42,776,99,2025-02-08,13:56:38
43,776,99,2025-02-08,14:01:38
44,776,99,2025-02-08,14:06:38
45,772,100,2025-02-08,14:11:37
46,774,100,2025-02-08,14:16:38
47,759,98,2025-02-08,14:21:38
48,766,101,2025-02-08,14:26:38
49,769,101,2025-02-08,14:31:37
50,752,100,2025-02-08,14:36:37
51,759,102,2025-02-08,14:41:37
52,744,102,2025-02-08,14:46:38
53,751,99,2025-02-08,14:51:38
54,746,99,2025-02-08,14:56:38
55,745,100,2025-02-08,15:01:37
56,737,101,2025-02-08,15:06:37
57,746,100,2025-02-08,15:11:37
58,740,100,2025-02-08,15:16:37
59,741,101,2025-02-08,15:21:38
60,732,106,2025-02-08,15:26:38
61,740,115,2025-02-08,15:31:38
62,736,117,2025-02-08,15:36:38
63,730,115,2025-02-08,15:41:37
64,733,116,2025-02-08,15:46:38
65,735,117,2025-02-08,15:51:38
66,731,114,2025-02-08,15:56:38
